video_id,average_delay,stdev_delay,frames_rejected,frames_accepted,confidence_threshold
Local-Compressed-JpegDec,89.05081826012058,23.855327697123942911,587,1161,0.75
Local-Uncompressed,77.60159651669086,20.805866728867083836,525,1378,0.75
rtp+jpeg-codec-4,100.38580709645177,22.919651464390662558,989,2001,0.75
rtp+raw+vp8-codec-3,87.21830209481809,21.723093869438755695,1048,907,0.75
rtp+raw+multithreaded+vp8-codec-6,88.04143475572047,22.712641502626224712,609,1617,0.75
rtp+raw+multithreaded+vp9-codec-7,88.6,47.73510238807496263,1638,5,0.75
